06-13 20:50:15.717 27331  7911 V Capacitor: callback: 72589320, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:15.724 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:15.967 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589321, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:15.968 27331  7911 V Capacitor: callback: 72589321, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:15.976 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:16.216 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589322, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:16.217 27331  7911 V Capacitor: callback: 72589322, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:16.224 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:16.468 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589323, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:16.468 27331  7911 V Capacitor: callback: 72589323, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
